customerid,gender,ever_married,age,graduated,profession,work_experience,spending_score,family_size,var_1,category
465379,Male,No,30,No,Healthcare,0,Low,4,1,2
463814,Female,No,26,No,Healthcare,6,Low,3,6,3
466938,Male,Yes,63,Yes,Artist,8,Low,1,1,0
460671,Male,Yes,35,No,Entertainment,8,Average,4,3,1
462204,Female,No,19,No,Marketing,1,Low,3,0,0
461671,Male,No,32,No,Healthcare,7,Low,5,1,3
459384,Male,Yes,52,Yes,Artist,0,Average,3,1,2
459905,Female,Yes,36,Yes,Artist,5,Low,2,1,2
464734,Female,No,42,No,Entertainment,7,Low,3,0,3
464125,Male,Yes,40,No,Doctor,0,Average,2,3,3
467434,Male,No,39,Yes,Entertainment,0,Low,3,4,1
460956,Female,Yes,47,Yes,Artist,1,Average,4,3,2
465179,Female,Yes,61,Yes,Artist,1,High,2,1,2
463338,Male,Yes,32,No,Entertainment,1,Low,2,3,3
467066,Male,Yes,55,No,Artist,0,Low,1,1,1
459976,Female,No,38,Yes,Artist,0,Low,1,1,3
461334,Male,Yes,63,Yes,Artist,0,High,2,1,2
465108,Male,Yes,58,Yes,Doctor,1,Average,2,1,2
462600,Male,Yes,30,No,Engineer,3,Average,3,0,3
464144,Male,Yes,60,Yes,Artist,0,Average,4,1,2
466911,Male,Yes,68,No,Executive,1,High,7,1,1
462806,Male,Yes,52,No,Artist,0,Low,3,0,0
463426,Male,Yes,38,No,Executive,0,High,5,1,0
464065,Female,Yes,35,Yes,Healthcare,10,Low,2,1,1
462979,Male,No,18,No,Doctor,1,Low,2,1,3
462834,Male,Yes,30,Yes,Homemaker,3,Low,2,4,3
460764,Male,No,86,No,Lawyer,1,Low,1,1,3
460185,Male,No,25,No,Healthcare,9,Low,3,1,3
464406,Female,No,39,Yes,Artist,0,Low,1,1,0
462059,Male,No,47,Yes,Artist,1,Low,1,1,2
467905,Male,Yes,43,Yes,Executive,0,High,3,1,3
461177,Male,Yes,36,No,Executive,8,Average,4,4,1
460765,Male,Yes,80,No,Lawyer,1,Low,1,1,3
465386,Male,No,36,Yes,Artist,0,Low,2,5,2
462332,Female,Yes,37,Yes,Artist,1,High,2,2,0
464481,Male,Yes,46,Yes,Executive,0,High,3,1,2
461011,Male,Yes,55,No,Executive,1,High,4,3,1
464749,Female,Yes,47,No,Engineer,9,Average,4,0,1
461094,Female,No,28,Yes,Healthcare,1,Low,3,3,3
462104,Male,Yes,39,No,Entertainment,9,Low,2,3,3
464524,Female,Yes,27,No,Marketing,1,Low,2,1,0
461787,Male,Yes,72,Yes,Artist,0,Average,2,1,2
467857,Female,Yes,28,Yes,Engineer,0,Low,2,1,0
460153,Male,No,35,Yes,Entertainment,8,Low,5,1,2
465215,Male,Yes,39,Yes,Executive,9,High,5,5,0
466746,Female,Yes,69,Yes,Lawyer,0,High,2,1,2
464857,Male,No,18,No,Healthcare,6,Low,4,0,3
460723,Female,Yes,50,Yes,Engineer,1,High,2,0,1
459853,Male,No,30,No,Executive,5,Low,5,1,0
460410,Female,No,39,Yes,Artist,3,Low,4,1,3
463823,Female,No,29,No,Marketing,8,Low,4,1,3
462008,Female,Yes,37,Yes,Artist,4,Low,4,6,1
459750,Female,Yes,39,Yes,Engineer,0,Average,2,1,0
459880,Female,Yes,48,Yes,Artist,0,Average,5,2,2
459261,Female,No,32,Yes,Doctor,0,Low,3,1,2
465395,Female,Yes,43,No,Engineer,0,Average,5,0,1
461631,Male,No,29,No,Marketing,8,Low,5,1,2
464904,Female,Yes,28,No,Engineer,9,Average,2,0,0
461740,Male,Yes,80,Yes,Lawyer,1,Low,1,1,1
467092,Female,No,28,Yes,Healthcare,7,Low,4,1,3
464173,Male,Yes,71,Yes,Artist,6,Average,3,1,2
464972,Male,Yes,67,No,Lawyer,0,High,9,0,0
467959,Female,No,26,No,Engineer,0,Low,1,5,0
467688,Female,Yes,47,Yes,Engineer,0,Average,2,1,2
460043,Female,Yes,43,Yes,Artist,2,Average,2,1,1
466590,Female,No,27,Yes,Healthcare,0,Low,4,1,2
461191,Female,Yes,45,Yes,Marketing,8,Low,4,1,3
465662,Male,Yes,76,No,Executive,1,Low,1,1,2
459231,Female,Yes,43,Yes,Artist,3,Average,4,1,2
466495,Female,Yes,78,Yes,Lawyer,1,High,2,1,1
459192,Male,Yes,35,Yes,Artist,3,Average,3,1,2
465710,Female,No,49,Yes,Artist,1,Low,1,1,2
460258,Female,No,25,Yes,Healthcare,1,Low,5,1,3
462813,Male,Yes,37,No,Executive,0,Average,5,1,0
467768,Male,Yes,60,Yes,Doctor,0,Average,2,1,2
465291,Female,Yes,45,Yes,Artist,5,Average,3,1,2
462996,Female,Yes,49,Yes,Homemaker,9,Average,3,1,2
463497,Male,No,32,Yes,Artist,0,Low,5,1,3
465301,Female,Yes,40,Yes,Artist,0,Low,3,3,1
464702,Male,Yes,59,No,Artist,2,Average,2,0,2
459012,Male,Yes,48,Yes,Artist,3,Low,5,1,1
465053,Male,Yes,82,Yes,Executive,0,High,2,1,2
459420,Female,Yes,70,Yes,Lawyer,0,Low,2,1,1
464166,Male,No,31,Yes,Artist,5,Low,2,1,1
458987,Female,Yes,72,Yes,Lawyer,0,High,2,1,2
467745,Male,Yes,50,Yes,Artist,3,Average,4,1,2
464866,Female,No,23,No,Engineer,11,Low,1,3,3
461081,Female,No,20,No,Healthcare,2,Low,6,1,3
467896,Female,No,22,No,Healthcare,4,Low,3,1,3
463991,Female,No,31,Yes,Engineer,8,Low,1,1,0
466620,Female,Yes,36,Yes,Artist,7,Average,2,1,2
460697,Male,Yes,40,Yes,Artist,4,Average,4,1,2
467934,Female,No,40,Yes,Artist,1,Low,1,1,0
467910,Female,No,21,No,Doctor,1,Low,3,2,0
467335,Female,Yes,41,No,Engineer,4,Average,2,1,3
460263,Male,Yes,40,Yes,Artist,0,Low,2,1,1
459340,Male,Yes,53,Yes,Artist,1,Average,3,1,1
465622,Female,Yes,42,Yes,Artist,5,Low,2,1,2
459395,Male,Yes,42,No,Executive,8,Low,2,1,3
466574,Male,Yes,59,Yes,Artist,7,Low,2,1,2
466544,Male,Yes,41,Yes,Executive,1,Average,3,1,0
463610,Female,Yes,31,Yes,Artist,0,Average,2,1,0
465539,Female,Yes,49,Yes,Artist,1,High,5,1,1
459823,Male,Yes,67,Yes,Executive,1,Low,2,1,0
467614,Male,Yes,35,No,Artist,4,Average,2,1,1
459073,Female,No,26,Yes,Healthcare,0,Low,3,1,2
464863,Female,Yes,25,No,Engineer,6,Average,8,0,3
460022,Female,Yes,39,Yes,Healthcare,4,Low,2,1,0
459929,Male,Yes,63,Yes,Entertainment,0,Low,2,1,0
466613,Male,No,23,No,Healthcare,8,Low,3,1,3
461149,Female,No,23,No,Healthcare,0,Low,3,3,3
466068,Female,Yes,53,Yes,Artist,2,Low,1,1,2
461513,Male,No,33,Yes,Doctor,0,Low,2,1,1
466236,Female,Yes,69,Yes,Engineer,0,Low,2,0,1
459664,Male,No,37,Yes,Artist,2,Low,1,1,1
461967,Female,No,20,No,Marketing,3,Low,4,2,2
461710,Female,Yes,49,Yes,Doctor,1,Average,4,1,2
462742,Male,No,18,No,Healthcare,0,Low,3,3,3
459528,Female,Yes,52,Yes,Doctor,0,Average,2,1,2
467515,Male,Yes,28,Yes,Engineer,0,Average,2,1,0
463429,Female,No,28,Yes,Artist,7,Low,3,1,0
464024,Male,No,20,No,Healthcare,0,Low,5,2,3
460691,Female,No,27,No,Homemaker,8,Low,1,3,3
467271,Male,Yes,45,Yes,Artist,4,Average,4,1,1
465634,Male,No,25,Yes,Healthcare,1,Low,4,0,1
464801,Male,No,40,No,Marketing,1,Low,1,0,3
462036,Female,Yes,67,Yes,Lawyer,0,High,2,1,1
460448,Female,No,38,Yes,Artist,9,Low,1,3,0
464464,Male,No,28,No,Healthcare,0,Low,4,5,2
462410,Female,No,32,No,Healthcare,1,Low,5,2,1
459756,Female,Yes,56,No,Lawyer,1,High,4,0,1
463789,Female,Yes,53,Yes,Artist,1,Low,2,1,2
466947,Male,Yes,57,No,Executive,1,High,5,1,2
464150,Female,Yes,59,Yes,Artist,0,Average,3,1,2
465693,Female,Yes,25,Yes,Healthcare,1,High,4,0,0
461670,Male,Yes,59,Yes,Artist,0,Average,6,1,2
466768,Female,Yes,36,Yes,Artist,0,Low,4,1,2
461550,Male,Yes,37,Yes,Entertainment,7,Low,2,1,0
462438,Male,No,22,No,Doctor,1,Low,3,5,3
460704,Male,Yes,43,Yes,Artist,1,Low,2,1,1
464884,Male,Yes,41,Yes,Artist,1,Low,2,0,0
467050,Female,No,21,No,Engineer,0,Low,5,5,1
466176,Male,No,38,Yes,Doctor,8,Low,1,5,1
467773,Male,Yes,70,Yes,Lawyer,1,High,3,1,2
465425,Female,No,31,No,Engineer,1,Low,4,1,1
462318,Female,Yes,82,No,Lawyer,0,Average,2,1,0
460197,Male,No,38,Yes,Artist,8,Low,3,5,0
459375,Male,Yes,18,No,Executive,0,High,4,1,0
463862,Male,Yes,50,Yes,Artist,6,Average,3,1,2
462721,Female,Yes,72,No,Lawyer,1,High,3,1,3
465809,Female,No,25,No,Homemaker,1,Low,7,0,1
466915,Female,Yes,75,No,Entertainment,2,High,2,5,3
467343,Male,No,72,Yes,Artist,1,Low,1,1,1
466268,Female,Yes,72,Yes,Artist,0,Average,3,0,2
464868,Male,Yes,36,Yes,Entertainment,6,Low,6,0,0
464038,Male,Yes,40,Yes,Artist,1,Low,2,1,0
460176,Female,No,28,Yes,Entertainment,0,Low,4,1,2
462161,Female,No,28,Yes,Doctor,0,Low,3,1,3
464893,Male,Yes,43,Yes,Artist,0,Low,2,0,1
464443,Female,Yes,35,Yes,Artist,1,Average,2,1,1
467619,Male,Yes,65,Yes,Lawyer,1,High,2,1,1
465974,Male,Yes,52,Yes,Executive,7,High,4,0,2
462075,Female,No,40,Yes,Artist,1,Low,1,1,1
459494,Female,Yes,69,No,Engineer,9,Low,3,1,0
466921,Female,No,22,No,Healthcare,3,Low,3,1,3
463544,Male,Yes,47,Yes,Executive,1,Average,4,1,2
461167,Male,Yes,29,Yes,Marketing,1,High,2,3,0
467364,Male,Yes,46,Yes,Artist,1,Average,3,3,2
462408,Male,No,32,Yes,Artist,1,Low,2,1,0
466224,Female,No,38,Yes,Healthcare,0,Low,1,5,2
465151,Male,Yes,59,Yes,Artist,0,Low,1,1,1
467216,Female,No,26,Yes,Entertainment,1,Low,1,1,3
460586,Male,No,26,Yes,Healthcare,1,Low,2,3,0
461197,Male,No,28,No,Marketing,0,Low,1,3,3
462776,Female,Yes,53,Yes,Engineer,1,Average,3,1,2
464088,Male,No,27,No,Doctor,1,Low,3,1,3
464695,Male,No,26,No,Engineer,0,Low,4,0,3
462331,Female,No,31,No,Entertainment,0,Low,2,1,3
466523,Male,Yes,39,Yes,Executive,1,High,3,3,1
465337,Female,Yes,43,No,Engineer,1,Low,3,2,0
460834,Male,Yes,25,No,Doctor,1,Low,2,4,0
466824,Male,Yes,40,Yes,Artist,3,High,3,1,0
461607,Female,Yes,40,Yes,Entertainment,7,Average,2,3,1
466999,Male,No,27,Yes,Healthcare,1,Low,3,1,3
466597,Female,No,19,No,Healthcare,1,Low,2,1,3
464075,Female,Yes,86,Yes,Lawyer,0,High,2,1,1
462163,Female,Yes,27,Yes,Artist,4,Average,2,3,2
463895,Female,Yes,70,No,Doctor,0,Average,2,1,1
464767,Female,Yes,53,No,Engineer,8,Average,4,0,1
463738,Male,Yes,43,No,Executive,0,High,4,1,0
465967,Male,Yes,36,No,Doctor,6,Low,3,1,0
462260,Male,Yes,74,Yes,Lawyer,0,Low,2,1,2
467234,Female,No,30,No,Homemaker,0,Low,4,1,3
466573,Female,No,37,Yes,Artist,5,Low,2,1,1
463229,Female,No,22,No,Marketing,0,Low,1,6,1
459768,Male,No,19,No,Healthcare,0,Low,4,1,3
462541,Male,Yes,70,Yes,Engineer,4,High,2,1,1
467714,Male,Yes,89,Yes,Lawyer,13,Low,1,1,0
459474,Male,No,25,Yes,Doctor,6,Low,1,5,3
460093,Female,No,45,Yes,Artist,4,Low,1,3,0
467865,Female,No,35,Yes,Artist,3,Low,1,0,0
465758,Female,Yes,37,No,Engineer,7,Low,1,0,3
464184,Female,Yes,39,No,Engineer,4,Average,2,1,1
462618,Female,No,32,Yes,Healthcare,1,Low,5,0,3
464226,Female,Yes,62,Yes,Artist,2,Average,3,1,2
465432,Female,Yes,58,Yes,Engineer,0,Average,4,0,1
466627,Male,No,25,No,Healthcare,0,Low,5,1,2
467380,Female,Yes,56,Yes,Artist,0,Average,4,1,2
465842,Female,No,36,Yes,Entertainment,10,Low,2,1,0
464622,Female,No,30,No,Healthcare,8,Low,3,1,0
462083,Male,No,19,No,Healthcare,1,Low,5,1,3
460910,Male,No,27,Yes,Healthcare,0,Low,2,1,0
460255,Female,No,38,Yes,Doctor,14,Low,1,1,0
460109,Male,Yes,46,Yes,Artist,8,Average,2,1,2
464306,Male,No,29,Yes,Artist,3,Low,1,1,1
466835,Male,Yes,51,No,Entertainment,1,Average,4,2,1
465192,Male,Yes,55,No,Artist,0,Low,1,1,0
463380,Female,Yes,69,Yes,Engineer,1,Low,1,3,0
462391,Female,No,26,No,Healthcare,1,Low,8,2,2
467086,Female,Yes,83,Yes,Lawyer,0,Low,3,1,0
460306,Female,No,39,Yes,Healthcare,9,Low,1,1,3
460752,Male,Yes,35,Yes,Artist,9,Low,1,1,0
467264,Male,Yes,19,No,Marketing,2,High,5,1,2
466258,Female,No,29,No,Healthcare,1,Low,3,1,1
463719,Female,No,26,No,Doctor,0,Low,1,1,3
460032,Male,No,36,Yes,Engineer,8,Low,1,1,0
465175,Female,No,22,No,Homemaker,0,Low,4,1,3
466610,Male,No,19,No,Marketing,0,Low,5,1,0
459036,Female,Yes,20,Yes,Lawyer,1,Average,3,3,0
464047,Male,No,43,Yes,Healthcare,3,Low,3,1,3
459997,Male,No,43,Yes,Entertainment,1,Low,2,0,0
463382,Female,Yes,50,Yes,Engineer,4,High,3,1,1
460967,Male,No,25,Yes,Entertainment,1,Low,2,1,0
465094,Male,Yes,61,No,Artist,1,High,2,1,1
461229,Female,Yes,28,Yes,Healthcare,0,Average,2,1,0
466442,Male,No,38,Yes,Artist,1,Low,1,1,3
464527,Male,No,25,No,Executive,12,Low,3,1,0
463560,Female,No,18,No,Healthcare,9,Low,5,0,3
460011,Male,Yes,43,Yes,Entertainment,1,Average,5,6,2
467207,Female,No,27,Yes,Artist,8,Low,1,1,1
465177,Female,No,60,Yes,Entertainment,1,Low,2,1,3
467531,Male,Yes,75,Yes,Lawyer,2,Low,1,1,3
462842,Male,No,23,No,Doctor,6,Low,4,5,3
462124,Male,No,36,Yes,Artist,8,Low,1,1,0
466265,Male,No,30,No,Doctor,1,Low,1,3,2
459789,Male,Yes,56,No,Artist,1,Average,2,1,2
464223,Female,Yes,52,Yes,Artist,2,Low,2,1,2
460280,Male,Yes,39,Yes,Entertainment,0,Low,1,1,3
460331,Female,No,35,No,Artist,5,Low,1,1,0
461494,Male,Yes,33,No,Engineer,0,Average,2,1,1
460035,Female,No,25,Yes,Artist,0,Low,6,1,0
463812,Female,Yes,27,Yes,Artist,0,Average,2,0,1
465569,Male,Yes,35,Yes,Artist,1,High,3,1,0
466333,Female,Yes,41,Yes,Artist,1,Average,2,1,2
462723,Female,Yes,46,No,Artist,8,Average,2,1,1
462404,Female,No,26,Yes,Artist,9,Low,1,1,0
461799,Male,Yes,43,Yes,Doctor,13,High,2,1,1
459933,Female,Yes,30,Yes,Artist,8,Low,4,1,0
463717,Female,Yes,70,Yes,Artist,1,Average,4,1,2
462149,Female,Yes,89,No,Lawyer,3,High,1,1,3
462769,Female,Yes,42,No,Homemaker,6,High,4,1,1
465532,Female,Yes,37,Yes,Entertainment,6,Average,3,0,0
462829,Male,Yes,29,No,Executive,1,Average,3,1,3
459210,Female,Yes,68,Yes,Artist,1,High,2,1,2
464659,Female,No,25,No,Engineer,1,Low,1,0,3
467759,Female,Yes,48,Yes,Doctor,0,Low,2,1,2
461475,Female,Yes,51,Yes,Doctor,1,Average,3,4,2
462714,Female,Yes,40,Yes,Engineer,1,High,5,5,1
466890,Male,Yes,47,Yes,Artist,0,Average,6,2,1
467479,Male,Yes,35,Yes,Executive,1,Average,4,1,2
466799,Female,No,19,No,Healthcare,2,Low,3,1,3
460873,Male,Yes,46,Yes,Entertainment,0,Average,3,0,1
466776,Male,Yes,86,Yes,Lawyer,0,Low,1,1,1
459462,Male,Yes,66,Yes,Artist,0,High,2,1,1
465727,Male,No,42,No,Marketing,1,Low,5,0,3
462348,Female,Yes,73,Yes,Lawyer,1,High,2,1,1
460941,Male,Yes,72,No,Engineer,1,Low,1,1,0
461629,Male,Yes,53,Yes,Artist,0,Low,3,1,1
459907,Female,Yes,39,Yes,Artist,8,Average,2,1,2
467146,Female,No,27,No,Homemaker,9,Low,1,1,3
459196,Female,No,23,No,Healthcare,1,Low,3,0,3
465444,Female,No,30,Yes,Entertainment,0,Low,4,1,1
464186,Female,Yes,39,Yes,Artist,5,Average,2,1,2
466412,Male,Yes,26,Yes,Artist,1,Average,3,1,1
459480,Female,Yes,50,Yes,Entertainment,7,Low,3,1,0
467880,Female,Yes,45,Yes,Artist,1,Average,2,1,2
460216,Female,No,62,No,Entertainment,2,Low,1,1,0
467941,Female,No,27,Yes,Doctor,1,Low,3,1,0
462572,Female,Yes,30,No,Engineer,1,Average,7,0,0
467443,Male,No,32,No,Healthcare,7,Low,4,3,0
459701,Male,No,47,No,Artist,3,Low,3,6,1
461139,Female,No,32,Yes,Artist,4,Low,4,5,0
461115,Female,Yes,32,No,Engineer,5,Low,3,4,0
459027,Male,Yes,67,Yes,Doctor,1,Average,4,1,1
467340,Female,Yes,77,Yes,Lawyer,0,High,2,1,2
460857,Male,No,31,No,Entertainment,1,Low,1,0,0
464300,Male,Yes,42,Yes,Artist,0,Low,3,0,0
463287,Male,Yes,50,Yes,Artist,1,Average,4,5,2
461392,Male,Yes,71,Yes,Artist,0,Average,5,1,2
461546,Female,Yes,72,No,Lawyer,1,Low,3,1,0
462130,Male,Yes,45,Yes,Artist,9,Average,2,1,2
464684,Female,No,40,No,Engineer,9,Low,5,0,0
462276,Female,No,36,Yes,Engineer,4,Low,1,1,0
462417,Male,No,30,No,Healthcare,4,Low,4,1,3
466463,Female,No,29,Yes,Healthcare,2,Low,4,0,1
464736,Male,No,28,Yes,Engineer,0,Low,5,0,3
463855,Female,Yes,40,Yes,Artist,1,Average,2,1,2
460344,Female,Yes,52,Yes,Artist,14,Average,2,1,2
460139,Male,No,26,No,Artist,6,Low,6,6,3
464126,Female,No,55,Yes,Marketing,3,Low,1,1,1
461286,Female,No,20,No,Doctor,4,Low,4,1,3
461621,Female,Yes,87,Yes,Lawyer,0,High,2,1,2
460163,Male,No,28,No,Healthcare,0,Low,2,0,0
461958,Male,No,38,No,Artist,2,Low,2,3,0
464875,Male,Yes,42,No,Entertainment,1,Low,2,0,1
464791,Male,Yes,42,No,Marketing,0,High,6,0,0
464579,Female,No,29,No,Engineer,1,Low,4,1,3
463531,Male,No,32,Yes,Doctor,0,Low,4,1,0
465486,Female,Yes,59,No,Artist,1,High,2,1,2
460882,Male,No,22,No,Healthcare,0,Low,2,3,3
461298,Female,Yes,78,Yes,Artist,1,High,2,1,2
461595,Female,No,32,Yes,Healthcare,0,Low,3,0,0
459260,Male,Yes,37,Yes,Artist,0,Average,4,2,2
462772,Male,Yes,37,Yes,Healthcare,1,High,4,1,1
459143,Male,Yes,47,No,Artist,0,High,4,1,1
464532,Female,Yes,68,Yes,Lawyer,0,High,2,1,0
460056,Male,No,30,Yes,Healthcare,3,Low,5,4,2
466761,Female,Yes,48,Yes,Entertainment,2,Low,1,4,0
465469,Female,No,43,Yes,Artist,6,Low,1,1,2
461886,Male,Yes,33,Yes,Healthcare,9,Low,2,1,3
465680,Male,Yes,31,No,Healthcare,0,Average,5,0,3
459316,Male,Yes,32,Yes,Healthcare,1,Low,2,1,3
465609,Female,No,21,No,Healthcare,1,Low,4,5,3
467009,Female,No,29,No,Homemaker,2,Low,4,3,3
461766,Female,Yes,35,Yes,Artist,1,Low,2,0,0
464938,Male,Yes,46,No,Artist,0,Low,3,0,0
462034,Female,Yes,38,Yes,Artist,9,High,2,5,1
464049,Female,No,32,Yes,Healthcare,1,Low,3,1,2
467925,Female,No,28,Yes,Artist,3,Low,7,5,0
463711,Female,Yes,68,Yes,Lawyer,3,Low,1,1,0
463846,Female,Yes,45,Yes,Artist,4,Low,1,1,2
462064,Male,Yes,58,Yes,Artist,0,Average,3,2,2
463249,Male,No,28,No,Entertainment,1,Low,2,2,0
464217,Female,No,32,No,Healthcare,12,Low,3,1,0
463378,Male,No,30,Yes,Doctor,1,Low,1,3,1
463035,Female,Yes,42,No,Homemaker,3,Average,4,1,3
465309,Female,No,18,No,Healthcare,6,Low,4,2,3
462688,Female,Yes,29,Yes,Healthcare,8,Low,3,3,3
459255,Female,No,33,Yes,Healthcare,0,Low,3,1,0
467492,Female,Yes,57,Yes,Doctor,1,Low,2,2,0
460789,Male,Yes,36,Yes,Executive,1,Low,3,1,3
467307,Male,Yes,57,Yes,Executive,1,High,3,1,2
464026,Male,No,18,No,Healthcare,1,Low,2,1,3
462493,Male,Yes,52,Yes,Artist,1,Average,6,1,2
460452,Female,Yes,37,Yes,Entertainment,0,Average,2,4,1
459322,Male,No,36,Yes,Marketing,0,Low,1,1,0
464066,Female,No,29,Yes,Healthcare,9,Low,3,0,0
461114,Male,Yes,45,Yes,Artist,1,Average,4,3,2
465165,Male,No,61,Yes,Artist,0,Low,1,1,1
464526,Male,Yes,52,Yes,Entertainment,1,Average,4,1,0
460666,Female,Yes,49,Yes,Homemaker,14,Low,1,1,0
464096,Female,No,31,No,Healthcare,1,Low,5,0,2
464891,Male,Yes,42,No,Entertainment,1,Low,3,0,0
460107,Male,Yes,51,Yes,Engineer,1,Average,5,1,2
467708,Female,No,42,Yes,Healthcare,8,Low,1,2,3
461873,Male,No,29,Yes,Doctor,1,Low,4,1,2
465181,Female,No,33,Yes,Healthcare,8,Low,1,0,0
467320,Female,No,21,No,Healthcare,0,Low,4,5,3
459468,Male,Yes,35,No,Artist,9,Average,3,1,1
467316,Female,No,42,Yes,Doctor,0,Low,1,1,0
466182,Female,No,41,Yes,Artist,2,Low,1,1,2
463757,Male,No,39,Yes,Artist,0,Low,3,1,1
462314,Female,No,28,No,Doctor,14,Low,1,1,0
466652,Female,Yes,61,Yes,Doctor,1,Average,2,1,1
461664,Male,Yes,62,Yes,Artist,0,Average,4,1,2
464105,Male,Yes,65,Yes,Entertainment,1,Average,2,1,2
466790,Male,Yes,45,Yes,Doctor,1,Average,2,3,0
463844,Female,Yes,26,Yes,Engineer,9,Low,2,1,1
462913,Female,No,25,Yes,Artist,4,Low,5,1,2
465541,Female,Yes,45,Yes,Artist,1,Average,4,2,2
459149,Male,Yes,43,No,Executive,0,High,4,1,1
464508,Male,Yes,49,Yes,Executive,1,High,3,1,2
458999,Male,Yes,55,Yes,Artist,1,Average,2,1,2
459947,Female,No,37,Yes,Artist,3,Low,1,1,1
465500,Male,Yes,65,Yes,Entertainment,1,High,2,1,2
466338,Female,No,39,No,Engineer,0,Low,3,0,0
465122,Female,Yes,40,Yes,Artist,2,Average,2,1,2
465230,Male,Yes,72,Yes,Entertainment,1,Average,3,1,2
466369,Female,No,38,No,Homemaker,5,Low,1,5,1
463939,Male,No,26,No,Marketing,0,Low,5,1,3
460825,Male,No,30,Yes,Doctor,1,Low,3,0,3
463471,Male,No,57,Yes,Marketing,1,Low,4,2,0
467415,Female,No,31,Yes,Healthcare,1,Low,1,1,3
